operation,n,threads,execution_time_sec
nominal,16,1,2.775e-06
optimised,16,1,1.1243e-05
optimised,16,2,0.000109841
optimised,16,4,0.000283603
optimised,16,8,0.000407356
nominal,64,1,2.8723e-05
optimised,64,1,1.9522e-05
optimised,64,2,0.000143788
optimised,64,4,0.000248238
optimised,64,8,0.00044836
nominal,256,1,0.000303943
optimised,256,1,8.0203e-05
optimised,256,2,0.000173858
optimised,256,4,0.000244808
optimised,256,8,0.000357881
nominal,1024,1,0.00372449
optimised,1024,1,0.00181763
optimised,1024,2,0.00098897
optimised,1024,4,0.000730254
optimised,1024,8,0.000659802
nominal,4096,1,0.0543088
optimised,4096,1,0.018967
optimised,4096,2,0.0100866
optimised,4096,4,0.00678747
optimised,4096,8,0.00687523
nominal,10000,1,0.323936
optimised,10000,1,0.108537
optimised,10000,2,0.0576085
optimised,10000,4,0.0348339
optimised,10000,8,0.0346752
