operation,storage,n,execution_time_sec
vec_add,sparse,16,8.852e-08
mat_add,sparse_standard,16,6.18478e-06
matvec,sparse_standard,16,4.06e-07
res_nominal,sparse_standard,16,4.6532e-07
res_optimised,sparse_standard,16,1.9436e-07
matvec,sparse_rcm,16,3.9578e-07
res_optimised,sparse_rcm,16,1.848e-07
mat_add,dense,16,4.9972e-07
matvec,dense,16,1.21118e-06
res_nominal,dense,16,1.27708e-06
vec_add,sparse,64,1.6772e-07
mat_add,sparse_standard,64,2.71115e-05
matvec,sparse_standard,64,1.67024e-06
res_nominal,sparse_standard,64,1.81422e-06
res_optimised,sparse_standard,64,6.8594e-07
matvec,sparse_rcm,64,1.70754e-06
res_optimised,sparse_rcm,64,6.8904e-07
mat_add,dense,64,9.3266e-06
matvec,dense,64,1.97763e-05
res_nominal,dense,64,1.993  54e-05
vec_add,sparse,256,4.9724e-07
mat_add,sparse_standard,256,0.000186758
matvec,sparse_standard,256,6.50398e-06
res_nominal,sparse_standard,256,6.81062e-06
res_optimised,sparse_standard,256,2.47998e-06
matvec,sparse_rcm,256,6.3527e-06
res_optimised,sparse_rcm,256,2.82616e-06
mat_add,dense,256,0.000161231
matvec,dense,256,0.000252034
res_nominal,dense,256,0.000223851
vec_add,sparse,1024,1.416e-06
mat_add,sparse_standard,1024,0.000511856
matvec,sparse_standard,1024,1.8375e-05
res_nominal,sparse_standard,1024,1.9444e-05
res_optimised,sparse_standard,1024,7.919e-06
matvec,sparse_rcm,1024,1.8268e-05
res_optimised,sparse_rcm,1024,8.375e-06
mat_add,dense,1024,0.00757627
matvec,dense,1024,0.00344713
res_nominal,dense,1024,0.00333226
vec_add,sparse,4096,6.114e-06
mat_add,sparse_standard,4096,0.00250412
matvec,sparse_standard,4096,8.0349e-05
res_nominal,sparse_standard,4096,7.5062e-05
res_optimised,sparse_standard,4096,3.0341e-05
matvec,sparse_rcm,4096,8.1735e-05
res_optimised,sparse_rcm,4096,3.0654e-05
mat_add,dense,4096,0.128021
matvec,dense,4096,0.0540563
res_nominal,dense,4096,0.0540227
vec_add,sparse,10000,1.6476e-05
mat_add,sparse_standard,10000,0.00586571
matvec,sparse_standard,10000,0.000175341
res_nominal,sparse_standard,10000,0.000205987
res_optimised,sparse_standard,10000,6.9995e-05
matvec,sparse_rcm,10000,0.000174982
res_optimised,sparse_rcm,10000,7.2587e-05
mat_add,dense,10000,0.754261
matvec,dense,10000,0.326357
res_nominal,dense,10000,0.323157
vec_add,sparse,22500,3.6259e-05
mat_add,sparse_standard,22500,0.0138414
matvec,sparse_standard,22500,0.000426118
res_nominal,sparse_standard,22500,0.000423123
res_optimised,sparse_standard,22500,0.000157693
matvec,sparse_rcm,22500,0.000366834
res_optimised,sparse_rcm,22500,0.000183556
vec_add,sparse,40000,6.7313e-05
mat_add,sparse_standard,40000,0.0274123
matvec,sparse_standard,40000,0.000732742
res_nominal,sparse_standard,40000,0.000806409
res_optimised,sparse_standard,40000,0.000291999
matvec,sparse_rcm,40000,0.000700985
res_optimised,sparse_rcm,40000,0.000310457
vec_add,sparse,50176,9.298e-05
mat_add,sparse_standard,50176,0.0304122
matvec,sparse_standard,50176,0.00106266
res_nominal,sparse_standard,50176,0.00117694
res_optimised,sparse_standard,50176,0.00037545
matvec,sparse_rcm,50176,0.00087354
res_optimised,sparse_rcm,50176,0.000382952
