op,storage,N,time_per_call
vec_add,na,10,8.357e-08
vec_sub,na,10,6.714e-08
vec_scalar,na,10,6.887e-08
vec_norm1,na,10,7.2864e-07
vec_norm2,na,10,6.141e-07
vec_normInf,na,10,2.219e-08
sys_scalar,dense,10,5.0869e-07
diag_dom,dense,10,5.17e-08
symm,dense,10,2.004e-08
matvec,dense,10,4.6935e-07
residual,dense,10,5.2498e-07
sys_scalar,sparse,10,3.03338e-06
diag_dom,sparse,10,1.0636e-07
symm,sparse,10,2.384e-08
matvec,sparse,10,3.2538e-07
residual,sparse,10,3.5395e-07
vec_add,na,100,1.8403e-07
vec_sub,na,100,1.6144e-07
vec_scalar,na,100,1.6583e-07
vec_norm1,na,100,4.42167e-06
vec_norm2,na,100,4.36369e-06
vec_normInf,na,100,1.3967e-07
sys_scalar,dense,100,1.5877e-05
diag_dom,dense,100,4.5702e-07
symm,dense,100,1.837e-08
matvec,dense,100,3.82176e-05
residual,dense,100,3.77486e-05
sys_scalar,sparse,100,0.000330348
diag_dom,sparse,100,7.371e-08
symm,sparse,100,2.689e-08
matvec,sparse,100,1.73335e-05
residual,sparse,100,1.74449e-05
vec_add,na,500,6.1068e-07
vec_sub,na,500,5.6718e-07
vec_scalar,na,500,5.7426e-07
vec_norm1,na,500,1.82239e-05
vec_norm2,na,500,1.82463e-05
vec_normInf,na,500,6.0641e-07
sys_scalar,dense,500,0.000455107
diag_dom,dense,500,1.42556e-06
symm,dense,500,1.659e-08
matvec,dense,500,0.000704206
residual,dense,500,0.000700574
sys_scalar,sparse,500,0.00531406
diag_dom,sparse,500,2.4008e-07
symm,sparse,500,1.194e-07
matvec,sparse,500,0.00035847
residual,sparse,500,0.000361151
vec_add,na,1000,1.27161e-06
vec_sub,na,1000,1.01179e-06
vec_scalar,na,1000,1.01823e-06
vec_norm1,na,1000,3.63562e-05
vec_norm2,na,1000,3.60866e-05
vec_normInf,na,1000,1.20691e-06
sys_scalar,dense,1000,0.00200683
diag_dom,dense,1000,2.75413e-06
symm,dense,1000,2.025e-08
matvec,dense,1000,0.00280041
residual,dense,1000,0.0027953
sys_scalar,sparse,1000,0.024668
diag_dom,sparse,1000,5.314e-07
symm,sparse,1000,2.2244e-07
matvec,sparse,1000,0.00145031
residual,sparse,1000,0.00142751
vec_add,na,5000,1.25548e-05
vec_sub,na,5000,6.495e-06
vec_scalar,na,5000,5.6141e-06
vec_norm1,na,5000,0.000181549
vec_norm2,na,5000,0.000178511
vec_normInf,na,5000,6.1139e-06
sys_scalar,dense,5000,0.180732
diag_dom,dense,5000,1.65547e-05
symm,dense,5000,2.267e-07
matvec,dense,5000,0.0750314
residual,dense,5000,0.0749221
sys_scalar,sparse,5000,1.23404
diag_dom,sparse,5000,4.0092e-06
symm,sparse,5000,2.1116e-06
matvec,sparse,5000,0.0387662
residual,sparse,5000,0.0387798
vec_add,na,10000,6.38514e-05
vec_sub,na,10000,1.28816e-05
vec_scalar,na,10000,1.13024e-05
vec_norm1,na,10000,0.000365756
vec_norm2,na,10000,0.000357479
vec_normInf,na,10000,1.21749e-05
sys_scalar,dense,10000,0.741509
diag_dom,dense,10000,3.17235e-05
symm,dense,10000,3.16e-07
matvec,dense,10000,0.297106
residual,dense,10000,0.298568
sys_scalar,sparse,10000,5.82347
diag_dom,sparse,10000,1.46629e-05
symm,sparse,10000,4.4353e-06
matvec,sparse,10000,0.196729
residual,sparse,10000,0.156386
