op,storage,N,time_per_call
vec_add,na,10,6.18895e-08
vec_sub,na,10,6.62515e-08
vec_scalar,na,10,6.11735e-08
vec_norm1,na,10,6.71492e-07
vec_norm2,na,10,6.61198e-07
vec_normInf,na,10,1.7644e-08
sys_scalar,dense,10,3.92745e-07
diag_dom,dense,10,5.012e-08
symm,dense,10,1.599e-08
matvec,dense,10,4.97415e-07
residual,dense,10,5.6269e-07
sys_scalar,sparse,10,5.13029e-05
diag_dom,sparse,10,4.645e-08
symm,sparse,10,1.757e-08
matvec,sparse,10,1.60375e-07
residual,sparse,10,2.25665e-07
vec_add,na,100,2.07207e-07
vec_sub,na,100,2.17292e-07
vec_scalar,na,100,2.0056e-07
vec_norm1,na,100,1.61872e-05
vec_norm2,na,100,1.86609e-05
vec_normInf,na,100,1.70386e-07
sys_scalar,dense,100,6.8865e-05
diag_dom,dense,100,4.47065e-07
symm,dense,100,1.659e-08
matvec,dense,100,0.000110944
residual,dense,100,0.000174798
sys_scalar,sparse,100,1.40045e-05
diag_dom,sparse,100,6.0448e-07
symm,sparse,100,1.2285e-08
matvec,sparse,100,1.73576e-06
residual,sparse,100,5.1966e-05
vec_add,na,500,4.45409e-06
vec_sub,na,500,9.73044e-07
vec_scalar,na,500,4.09485e-06
vec_norm1,na,500,5.51053e-05
vec_norm2,na,500,5.6076e-05
vec_normInf,na,500,9.65735e-07
sys_scalar,dense,500,0.00190164
diag_dom,dense,500,2.04994e-06
symm,dense,500,1.866e-08
matvec,dense,500,0.00345205
residual,dense,500,0.0030188
sys_scalar,sparse,500,0.000520937
diag_dom,sparse,500,3.292e-08
symm,sparse,500,1.878e-08
matvec,sparse,500,1.99751e-05
residual,sparse,500,2.07254e-05
vec_add,na,1000,2.9832e-06
vec_sub,na,1000,2.99553e-06
vec_scalar,na,1000,3.47669e-06
vec_norm1,na,1000,0.000124434
vec_norm2,na,1000,0.000112126
vec_normInf,na,1000,5.36149e-06
sys_scalar,dense,1000,0.00702424
diag_dom,dense,1000,4.09944e-06
symm,dense,1000,1.89e-08
matvec,dense,1000,0.00918378
residual,dense,1000,0.00895426
sys_scalar,sparse,1000,0.0015789
diag_dom,sparse,1000,3.028e-08
symm,sparse,1000,3.15e-08
matvec,sparse,1000,0.000144007
residual,sparse,1000,0.000144363
vec_add,na,5000,1.75836e-05
vec_sub,na,5000,1.94848e-05
vec_scalar,na,5000,1.99956e-05
vec_norm1,na,5000,0.00064956
vec_norm2,na,5000,0.00065073
vec_normInf,na,5000,2.04053e-05
sys_scalar,dense,5000,0.56347
diag_dom,dense,5000,2.52711e-05
symm,dense,5000,4.66e-08
matvec,dense,5000,0.254619
residual,dense,5000,0.253592
sys_scalar,sparse,5000,0.0470818
diag_dom,sparse,5000,2.067e-07
symm,sparse,5000,2.092e-07
matvec,sparse,5000,0.00315194
residual,sparse,5000,0.00330522
vec_add,na,10000,6.61891e-05
vec_sub,na,10000,6.05755e-05
vec_scalar,na,10000,6.03451e-05
vec_norm1,na,10000,0.00133521
vec_norm2,na,10000,0.00111858
vec_normInf,na,10000,2.76984e-05
sys_scalar,dense,10000,2.41438
diag_dom,dense,10000,4.43617e-05
symm,dense,10000,1.84667e-07
matvec,dense,10000,1.02753
residual,dense,10000,0.991267
sys_scalar,sparse,10000,0.138858
diag_dom,sparse,10000,5.60667e-07
symm,sparse,10000,4.57333e-07
matvec,sparse,10000,0.00626964
residual,sparse,10000,0.00599834
